SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1412.00,1449.00,1402.00,1433.45,1432.15,1402.40,1212,14217,20402114.00,
500003,AEGIS LOGIS ,A ,Q,203.45,209.00,203.45,205.50,206.00,204.15,100,2680,552832.00,
500008,AMAR RAJA BA,A ,Q,727.00,736.20,717.85,731.95,731.95,715.90,857,20459,14930854.00,
500009,A.SARABHAI  ,X ,Q,12.24,13.62,12.24,13.42,13.39,12.39,108,35087,462932.00,
500010,HDFC        ,A ,Q,1914.00,1945.00,1905.30,1939.20,1939.20,1905.45,1276,33104,63625343.00,
500012,ANDHRA PETRO,X ,Q,53.00,57.90,52.65,57.25,57.10,52.55,572,98327,5528826.00,
500013,ANSAL INFRAS,B ,Q,10.30,12.31,10.20,11.38,11.43,10.26,221,35040,402287.00,
500014,APPLE FINANC,XT,Q,1.99,1.99,1.87,1.91,1.90,1.90,6,1289,2476.00,
500020,BOM DYEING  ,B ,Q,94.90,94.90,93.25,94.90,94.90,90.40,319,77163,7312329.00,
500024,ASSAMCO     ,T ,Q,2.21,2.21,2.21,2.21,2.21,2.32,85,204377,451673.00,
500027,ATUL LTD.   ,A ,Q,3285.00,3289.95,3263.05,3270.40,3270.40,3274.35,115,286,936536.00,
500028,ATV PROJECTS,XT,Q,7.05,7.56,7.05,7.07,7.07,7.20,4,649,4731.00,
500029,AUTOLITE(I) ,B ,Q,41.00,41.95,41.00,41.30,41.10,41.35,16,1780,74091.00,
500031,BAJAJ ELECT.,A ,Q,472.20,483.90,471.25,476.75,475.00,471.05,638,18426,8809749.00,
500032,BAJAJHIND   ,B ,Q,9.12,9.70,9.11,9.58,9.58,8.93,543,345303,3264227.00,
500033,FORCE MOTR  ,A ,Q,1613.70,1691.00,1607.00,1650.50,1650.50,1602.60,2682,22389,36839154.00,
500034,BAJFINANCE  ,A ,Q,2449.90,2512.45,2434.10,2494.45,2483.55,2431.35,5332,252594,626366273.00,
500038,BALRAM.CHINI,A ,Q,100.35,106.95,100.00,105.85,105.85,99.95,3107,463598,48178412.00,
500039,BANCO PROD. ,B ,Q,167.30,170.95,166.65,169.95,170.95,169.10,196,9070,1534325.00,
500040,CENTURY TEXT,A ,Q,891.70,911.95,883.35,909.30,908.00,888.10,905,32331,29217866.00,
500041,BANNARI AMAN,B ,Q,1490.00,1600.00,1490.00,1551.55,1535.40,1475.00,64,1267,1903802.00,
